,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
TENJ201705,11,New York,TENJ,Teterboro,201705,,,,,,,,,,,,
TENJ201706,11,New York,TENJ,Teterboro,201706,,,,,,,,,,,,
TENJ201707,11,New York,TENJ,Teterboro,201707,,,,,,,,,,,,
TENJ201708,11,New York,TENJ,Teterboro,201708,,,,,,,,,,,,
TENJ201709,11,New York,TENJ,Teterboro,201709,,,,,,,,,,,,
TENJ201710,11,New York,TENJ,Teterboro,201710,,,,,,,,,,,,
TENJ201711,11,New York,TENJ,Teterboro,201711,,,,,,,,,,,,
TENJ201712,11,New York,TENJ,Teterboro,201712,,,,,,,,,,,,
TENJ201801,11,New York,TENJ,Teterboro,201801,,,,,,,,,,,,
TENJ201802,11,New York,TENJ,Teterboro,201802,,,,,,,,,,,,
TENJ201803,11,New York,TENJ,Teterboro,201803,,,,,,,,,,,,
TENJ201804,11,New York,TENJ,Teterboro,201804,,,,,,,,,,,,
TENJ201805,11,New York,TENJ,Teterboro,201805,,,,,,,,,,,,
TENJ201806,11,New York,TENJ,Teterboro,201806,,,,,,,,,,,,
TENJ201807,11,New York,TENJ,Teterboro,201807,,,,,,,,,,,,
TENJ201808,11,New York,TENJ,Teterboro,201808,,,,,,,,,,,,
TENJ201809,11,New York,TENJ,Teterboro,201809,,,,,,,,,,,,
TENJ201810,11,New York,TENJ,Teterboro,201810,,,,,,,,,,,,
TENJ201811,11,New York,TENJ,Teterboro,201811,,,,,,,,,,,,
TENJ201812,11,New York,TENJ,Teterboro,201812,,,,,,,,,,,,
TENJ201901,11,New York,TENJ,Teterboro,201901,,,,,,,,,,,,
TENJ201902,11,New York,TENJ,Teterboro,201902,,,,,,,,,,,,
TENJ201903,11,New York,TENJ,Teterboro,201903,,,,,,,,,,,,
WIPA201701,11,New York,WIPA,Williamsport,201701,R,Q,Q,P,P,P,Q,R,R,B,B,B
WIPA201702,11,New York,WIPA,Williamsport,201702,Q,Q,Q,P,P,P,P,R,Q,B,A,A
WIPA201703,11,New York,WIPA,Williamsport,201703,Q,Q,Q,P,P,P,Q,Q,Q,B,A,A
WIPA201704,11,New York,WIPA,Williamsport,201704,R,Q,Q,P,P,P,Q,Q,Q,B,B,B
