,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
HAPA201710,11,New York,HAPA,Harrisburg,201710,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
HAPA201711,11,New York,HAPA,Harrisburg,201711,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,23.5,23.0,22.0
HAPA201712,11,New York,HAPA,Harrisburg,201712,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
HAPA201801,11,New York,HAPA,Harrisburg,201801,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,22.5,22.0,21.0
HAPA201802,11,New York,HAPA,Harrisburg,201802,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
HAPA201803,11,New York,HAPA,Harrisburg,201803,20.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,20.0,19.5,19.5
HAPA201804,11,New York,HAPA,Harrisburg,201804,20.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,20.0,22.0,22.0,22.5
HAPA201805,11,New York,HAPA,Harrisburg,201805,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,21.0,20.5,21.0
HAPA201806,11,New York,HAPA,Harrisburg,201806,20.0,20.0,20.0,30.0,20.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
HAPA201807,11,New York,HAPA,Harrisburg,201807,30.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,25.5,25.0,23.0
HAPA201808,11,New York,HAPA,Harrisburg,201808,30.0,30.0,20.0,30.0,20.0,30.0,30.0,20.0,30.0,28.5,28.0,27.0
HAPA201809,11,New York,HAPA,Harrisburg,201809,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
HAPA201810,11,New York,HAPA,Harrisburg,201810,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,20.0,21.5,21.0,21.5
HAPA201811,11,New York,HAPA,Harrisburg,201811,30.0,20.0,20.0,30.0,20.0,30.0,30.0,30.0,30.0,28.5,28.0,26.5
HAPA201812,11,New York,HAPA,Harrisburg,201812,30.0,20.0,20.0,30.0,20.0,30.0,30.0,30.0,30.0,28.5,28.0,26.5
HAPA201901,11,New York,HAPA,Harrisburg,201901,30.0,20.0,20.0,30.0,20.0,30.0,20.0,30.0,30.0,27.5,27.5,25.5
HAPA201902,11,New York,HAPA,Harrisburg,201902,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
HAPA201903,11,New York,HAPA,Harrisburg,201903,30.0,30.0,20.0,30.0,20.0,30.0,30.0,30.0,30.0,29.0,28.5,27.5
HVNY201701,11,New York,HVNY,Hudson Valley,201701,,,,,,,,,,,,
HVNY201702,11,New York,HVNY,Hudson Valley,201702,,,,,,,,,,,,
HVNY201703,11,New York,HVNY,Hudson Valley,201703,,,,,,,,,,,,
HVNY201704,11,New York,HVNY,Hudson Valley,201704,,,,,,,,,,,,
HVNY201705,11,New York,HVNY,Hudson Valley,201705,,,,,,,,,,,,
HVNY201706,11,New York,HVNY,Hudson Valley,201706,,,,,,,,,,,,
HVNY201707,11,New York,HVNY,Hudson Valley,201707,,,,,,,,,,,,
HVNY201708,11,New York,HVNY,Hudson Valley,201708,,,,,,,,,,,,
HVNY201709,11,New York,HVNY,Hudson Valley,201709,,,,,,,,,,,,
HVNY201710,11,New York,HVNY,Hudson Valley,201710,,,,,,,,,,,,
HVNY201711,11,New York,HVNY,Hudson Valley,201711,,,,,,,,,,,,
HVNY201712,11,New York,HVNY,Hudson Valley,201712,,,,,,,,,,,,
HVNY201801,11,New York,HVNY,Hudson Valley,201801,,,,,,,,,,,,
HVNY201802,11,New York,HVNY,Hudson Valley,201802,,,,,,,,,,,,
HVNY201803,11,New York,HVNY,Hudson Valley,201803,,,,,,,,,,,,
HVNY201804,11,New York,HVNY,Hudson Valley,201804,,,,,,,,,,,,
HVNY201805,11,New York,HVNY,Hudson Valley,201805,,,,,,,,,,,,
HVNY201806,11,New York,HVNY,Hudson Valley,201806,,,,,,,,,,,,
HVNY201807,11,New York,HVNY,Hudson Valley,201807,,,,,,,,,,,,
HVNY201808,11,New York,HVNY,Hudson Valley,201808,,,,,,,,,,,,
HVNY201809,11,New York,HVNY,Hudson Valley,201809,,,,,,,,,,,,
HVNY201810,11,New York,HVNY,Hudson Valley,201810,,,,,,,,,,,,
HVNY201811,11,New York,HVNY,Hudson Valley,201811,,,,,,,,,,,,
HVNY201812,11,New York,HVNY,Hudson Valley,201812,,,,,,,,,,,,
HVNY201901,11,New York,HVNY,Hudson Valley,201901,,,,,,,,,,,,
HVNY201902,11,New York,HVNY,Hudson Valley,201902,,,,,,,,,,,,
HVNY201903,11,New York,HVNY,Hudson Valley,201903,,,,,,,,,,,,
NCDE201701,11,New York,NCDE,New Castle,201701,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
NCDE201702,11,New York,NCDE,New Castle,201702,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
NCDE201703,11,New York,NCDE,New Castle,201703,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201704,11,New York,NCDE,New Castle,201704,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201705,11,New York,NCDE,New Castle,201705,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201706,11,New York,NCDE,New Castle,201706,10.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,10.0,15.0,15.5,17.5
NCDE201707,11,New York,NCDE,New Castle,201707,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
NCDE201708,11,New York,NCDE,New Castle,201708,20.0,30.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,21.0,21.0,21.5
NCDE201709,11,New York,NCDE,New Castle,201709,20.0,30.0,30.0,20.0,30.0,20.0,20.0,20.0,20.0,21.5,22.0,23.5
NCDE201710,11,New York,NCDE,New Castle,201710,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201711,11,New York,NCDE,New Castle,201711,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201712,11,New York,NCDE,New Castle,201712,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201801,11,New York,NCDE,New Castle,201801,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201802,11,New York,NCDE,New Castle,201802,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
NCDE201803,11,New York,NCDE,New Castle,201803,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201804,11,New York,NCDE,New Castle,201804,20.0,30.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.5,22.0,22.5
NCDE201805,11,New York,NCDE,New Castle,201805,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
NCDE201806,11,New York,NCDE,New Castle,201806,30.0,30.0,20.0,20.0,40.0,20.0,20.0,30.0,20.0,24.5,25.5,25.0
NCDE201807,11,New York,NCDE,New Castle,201807,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201808,11,New York,NCDE,New Castle,201808,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,21.0,21.5,21.5
NCDE201809,11,New York,NCDE,New Castle,201809,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,10.0,18.0,19.0,20.0
NCDE201810,11,New York,NCDE,New Castle,201810,30.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,20.0,23.5,24.0,23.0
NCDE201811,11,New York,NCDE,New Castle,201811,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201812,11,New York,NCDE,New Castle,201812,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201901,11,New York,NCDE,New Castle,201901,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
NCDE201902,11,New York,NCDE,New Castle,201902,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
NCDE201903,11,New York,NCDE,New Castle,201903,30.0,30.0,30.0,30.0,40.0,30.0,30.0,20.0,30.0,30.0,30.5,30.5
NJSC201701,11,New York,NJSC,New Jersey Service Center,201701,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,,,,
