,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),Number of Delivery Lines (SO),Sales $ per branch,GM $ per branch,RSO by plant,GMR,Sales Order - RSO
COSC201807,21,Atlanta,COSC,Columbia,201807,2800,2883088.47,443339.12,95,0.15377229128178643,3068.0
COSC201808,21,Atlanta,COSC,Columbia,201808,3041,2589718.62,432806.9,117,0.167125067819144,3257.0
COSC201809,21,Atlanta,COSC,Columbia,201809,2732,2316839.31,357211.62,101,0.15418057629555673,2778.0
COSC201810,21,Atlanta,COSC,Columbia,201810,3414,2981891.93,562849.98,96,0.18875599559371017,3560.0
COSC201811,21,Atlanta,COSC,Columbia,201811,2564,2378167.54,433943.97,110,0.18246989024162694,2991.0
COSC201812,21,Atlanta,COSC,Columbia,201812,2545,2205492.48,338501.32,90,0.15348105834393957,2281.0
COSC201901,21,Atlanta,COSC,Columbia,201901,2737,2339731.14,420583.32,83,0.1797571151700789,3172.0
COSC201902,21,Atlanta,COSC,Columbia,201902,2416,2167047.59,369892.16,69,0.17068944941813669,3055.0
COSC201903,21,Atlanta,COSC,Columbia,201903,3260,2766071.5,484376.03,105,0.17511334396092076,3268.0
DEAL201701,21,Atlanta,DEAL,Decatur,201701,285,281135.76,63743.03,17,0.22673398076431114,758.0
DEAL201702,21,Atlanta,DEAL,Decatur,201702,360,389837.58,64128.45,14,0.1645004311795697,703.0
DEAL201703,21,Atlanta,DEAL,Decatur,201703,496,448587.55,88303.05,18,0.19684685854522713,922.0
DEAL201704,21,Atlanta,DEAL,Decatur,201704,338,342439.19,86019.97,10,0.25119779660733343,766.0
DEAL201705,21,Atlanta,DEAL,Decatur,201705,578,346236.72,65758.47,16,0.18992344312873577,896.0
DEAL201706,21,Atlanta,DEAL,Decatur,201706,507,308947.94,70079.79,24,0.22683365359225244,830.0
DEAL201707,21,Atlanta,DEAL,Decatur,201707,403,303992.98,71684.46,23,0.23580959007671826,834.0
DEAL201708,21,Atlanta,DEAL,Decatur,201708,616,442225.36,89899.49,20,0.20328886158858012,951.0
DEAL201709,21,Atlanta,DEAL,Decatur,201709,569,302924.09,73156.48,16,0.241501030835811,752.0
DEAL201710,21,Atlanta,DEAL,Decatur,201710,674,392590.91,74288.18,14,0.18922542042555188,929.0
DEAL201711,21,Atlanta,DEAL,Decatur,201711,440,566249.52,91466.59,15,0.16153053869255377,846.0
DEAL201712,21,Atlanta,DEAL,Decatur,201712,365,271573.63,63226.93,9,0.2328168975758066,646.0
DEAL201801,21,Atlanta,DEAL,Decatur,201801,388,318781.14,74272.6,5,0.2329893167456519,869.0
DEAL201802,21,Atlanta,DEAL,Decatur,201802,525,531342.0,112489.15,14,0.21170761957458661,839.0
DEAL201803,21,Atlanta,DEAL,Decatur,201803,600,607004.29,101358.34,16,0.16698125807315134,995.0
DEAL201804,21,Atlanta,DEAL,Decatur,201804,393,741885.39,121880.21,15,0.16428441864854623,901.0
DEAL201805,21,Atlanta,DEAL,Decatur,201805,553,539741.57,127456.88,20,0.23614427178547692,1011.0
DEAL201806,21,Atlanta,DEAL,Decatur,201806,507,549491.09,106662.05,19,0.19411060878166378,990.0
DEAL201807,21,Atlanta,DEAL,Decatur,201807,470,613458.4,121660.11,17,0.19831843528428333,1094.0
DEAL201808,21,Atlanta,DEAL,Decatur,201808,533,916528.91,193680.05,17,0.21131908430471658,1205.0
DEAL201809,21,Atlanta,DEAL,Decatur,201809,403,676547.67,127187.59,12,0.1879950159313977,960.0
DEAL201810,21,Atlanta,DEAL,Decatur,201810,447,645433.55,127014.83,14,0.19678994065306954,1341.0
DEAL201811,21,Atlanta,DEAL,Decatur,201811,325,731588.9,127723.98,10,0.17458436015089895,946.0
DEAL201812,21,Atlanta,DEAL,Decatur,201812,343,466033.74,104773.44,10,0.22481943045582925,815.0
DEAL201901,21,Atlanta,DEAL,Decatur,201901,253,406319.71,93915.46,7,0.23113685526109476,1093.0
DEAL201902,21,Atlanta,DEAL,Decatur,201902,295,527081.99,98995.67,8,0.1878183506137252,1021.0
DEAL201903,21,Atlanta,DEAL,Decatur,201903,239,473663.5,96440.09,12,0.20360464760320354,901.0
GRSC201701,21,Atlanta,GRSC,Greenville,201701,2581,1895998.62,276392.59,81,0.14577678859281026,2837.0
GRSC201702,21,Atlanta,GRSC,Greenville,201702,2214,2413954.05,349452.15,60,0.1447633810593868,2696.0
GRSC201703,21,Atlanta,GRSC,Greenville,201703,2761,2271724.65,346315.75,89,0.15244618224308126,3248.0
GRSC201704,21,Atlanta,GRSC,Greenville,201704,2366,1981438.73,327180.02,58,0.16512245119989152,2697.0
GRSC201705,21,Atlanta,GRSC,Greenville,201705,2943,2134964.92,343862.47,59,0.16106235131957108,3095.0
GRSC201706,21,Atlanta,GRSC,Greenville,201706,3241,2746343.14,419578.91,72,0.15277730735424414,3126.0
GRSC201707,21,Atlanta,GRSC,Greenville,201707,2539,2144563.05,330606.25,83,0.1541601912799906,2810.0
GRSC201708,21,Atlanta,GRSC,Greenville,201708,2985,2321094.96,382524.08,88,0.1648032874966908,3401.0
GRSC201709,21,Atlanta,GRSC,Greenville,201709,2586,2401807.05,382379.75,92,0.15920502440027395,2920.0
GRSC201710,21,Atlanta,GRSC,Greenville,201710,2794,2525075.35,399248.74,117,0.15811359451114992,3250.0
GRSC201711,21,Atlanta,GRSC,Greenville,201711,2869,2542860.48,409564.23,107,0.1610643734570919,2953.0
GRSC201712,21,Atlanta,GRSC,Greenville,201712,2428,2420252.46,322879.19,74,0.1334072355410394,2603.0
GRSC201801,21,Atlanta,GRSC,Greenville,201801,2808,2093652.92,366196.71,106,0.17490803107900044,2936.0
GRSC201802,21,Atlanta,GRSC,Greenville,201802,2824,2064737.3,341770.94,90,0.16552756614606615,2924.0
GRSC201803,21,Atlanta,GRSC,Greenville,201803,2986,2137052.98,359931.27,109,0.16842412114649588,3139.0
GRSC201804,21,Atlanta,GRSC,Greenville,201804,3340,2641774.87,392833.3,78,0.14870052117650737,3101.0
GRSC201805,21,Atlanta,GRSC,Greenville,201805,3031,2411812.12,378498.7,108,0.1569354000924417,3301.0
GRSC201806,21,Atlanta,GRSC,Greenville,201806,2764,2400824.26,422556.76,98,0.17600486926102624,3122.0
GRSC201807,21,Atlanta,GRSC,Greenville,201807,2813,2872418.58,385066.03,85,0.13405637767459366,3160.0
GRSC201808,21,Atlanta,GRSC,Greenville,201808,3190,3130032.38,433984.2,76,0.13865166468341775,3684.0
GRSC201809,21,Atlanta,GRSC,Greenville,201809,2977,2966464.05,459373.75,69,0.15485566056328914,2798.0
GRSC201810,21,Atlanta,GRSC,Greenville,201810,2986,3492357.19,393750.29,62,0.11274628240417756,3332.0
GRSC201811,21,Atlanta,GRSC,Greenville,201811,2599,2867679.15,461574.58,76,0.16095753947926847,2759.0
GRSC201812,21,Atlanta,GRSC,Greenville,201812,2548,1856606.64,271247.14,93,0.1460983356172851,2424.0
GRSC201901,21,Atlanta,GRSC,Greenville,201901,3140,2508136.86,369254.15,81,0.1472224884889256,3248.0
GRSC201902,21,Atlanta,GRSC,Greenville,201902,3152,2167960.58,337634.68,81,0.15573838524314865,3013.0
GRSC201903,21,Atlanta,GRSC,Greenville,201903,3035,2464091.9,395317.45,106,0.1604312931672719,2945.0
GUMS201701,21,Atlanta,GUMS,Gulfport,201701,593,264598.23,54743.79,25,0.20689401437039093,831.0
GUMS201702,21,Atlanta,GUMS,Gulfport,201702,808,320480.61,53581.52,31,0.16719114457501813,691.0
GUMS201703,21,Atlanta,GUMS,Gulfport,201703,686,220807.81,51719.54,34,0.23422876210764465,804.0
GUMS201704,21,Atlanta,GUMS,Gulfport,201704,718,165223.85,34166.2,24,0.20678733730027474,672.0
GUMS201705,21,Atlanta,GUMS,Gulfport,201705,798,391897.64,65092.17,26,0.16609482516914365,778.0
GUMS201706,21,Atlanta,GUMS,Gulfport,201706,613,236651.47,45770.22,17,0.19340771472917537,659.0
GUMS201707,21,Atlanta,GUMS,Gulfport,201707,598,358028.19,53787.68,26,0.15023308639467747,709.0
GUMS201708,21,Atlanta,GUMS,Gulfport,201708,692,276067.29,56493.55,27,0.20463688400027402,797.0
GUMS201709,21,Atlanta,GUMS,Gulfport,201709,661,251159.89,51440.16,21,0.20481040981503854,719.0
GUMS201710,21,Atlanta,GUMS,Gulfport,201710,584,186727.88,38228.62,21,0.20472904206913292,716.0
GUMS201711,21,Atlanta,GUMS,Gulfport,201711,616,212900.35,47741.94,21,0.22424547446728013,608.0
GUMS201712,21,Atlanta,GUMS,Gulfport,201712,423,133668.07,24955.82,23,0.1866999351453193,481.0
GUMS201801,21,Atlanta,GUMS,Gulfport,201801,535,131427.29,30667.59,23,0.23334263378633158,676.0
GUMS201802,21,Atlanta,GUMS,Gulfport,201802,630,219646.37,37560.4,27,0.171003964235785,688.0
GUMS201803,21,Atlanta,GUMS,Gulfport,201803,634,199239.58,42102.56,37,0.21131624549700417,601.0
GUMS201804,21,Atlanta,GUMS,Gulfport,201804,602,313819.16,53989.59,29,0.17204045157727144,665.0
GUMS201805,21,Atlanta,GUMS,Gulfport,201805,803,185247.62,39378.41,28,0.21257174586102648,622.0
GUMS201806,21,Atlanta,GUMS,Gulfport,201806,807,281870.69,50601.12,21,0.1795189134421887,771.0
GUMS201807,21,Atlanta,GUMS,Gulfport,201807,628,274921.4,44393.31,37,0.16147637106460244,657.0
GUMS201808,21,Atlanta,GUMS,Gulfport,201808,955,282072.71,55347.17,26,0.19621596857065682,753.0
GUMS201809,21,Atlanta,GUMS,Gulfport,201809,749,382089.8,63500.64,23,0.16619297348424375,593.0
GUMS201810,21,Atlanta,GUMS,Gulfport,201810,944,215222.68,41882.85,37,0.19460239970991905,713.0
GUMS201811,21,Atlanta,GUMS,Gulfport,201811,750,218679.81,44502.07,28,0.2035033321091691,634.0
GUMS201812,21,Atlanta,GUMS,Gulfport,201812,704,166928.13,30152.96,31,0.18063438439045593,416.0
GUMS201901,21,Atlanta,GUMS,Gulfport,201901,696,244471.45,52139.08,37,0.2132726745802015,704.0
GUMS201902,21,Atlanta,GUMS,Gulfport,201902,479,206800.26,47106.35,23,0.22778670587744906,639.0
GUMS201903,21,Atlanta,GUMS,Gulfport,201903,555,215625.06,41986.97,20,0.19472212552659696,585.0
HUAL201701,21,Atlanta,HUAL,Huntsville,201701,2194,1188345.81,205978.22,67,0.17333188560659796,1827.0
HUAL201702,21,Atlanta,HUAL,Huntsville,201702,2169,1196372.19,223461.21,75,0.18678235073317778,1839.0
HUAL201703,21,Atlanta,HUAL,Huntsville,201703,2423,1351245.09,274523.76,95,0.20316355784130916,1880.0
HUAL201704,21,Atlanta,HUAL,Huntsville,201704,1930,897031.66,187470.13,60,0.20898942407450813,1568.0
HUAL201705,21,Atlanta,HUAL,Huntsville,201705,2019,1156457.82,226042.62,71,0.1954611885455537,1842.0
HUAL201706,21,Atlanta,HUAL,Huntsville,201706,2593,1748414.8,277271.45,73,0.15858447892342253,1799.0
HUAL201707,21,Atlanta,HUAL,Huntsville,201707,2389,971250.04,183183.92,85,0.18860634487078118,1650.0
HUAL201708,21,Atlanta,HUAL,Huntsville,201708,2792,2296827.68,349636.06,74,0.15222563845103085,2151.0
HUAL201709,21,Atlanta,HUAL,Huntsville,201709,2265,1466687.0,207087.55,64,0.14119409935453167,1669.0
HUAL201710,21,Atlanta,HUAL,Huntsville,201710,2733,1984981.12,316445.52,87,0.15941991428109906,1970.0
HUAL201711,21,Atlanta,HUAL,Huntsville,201711,2127,1975736.27,300955.88,67,0.15232593771232433,1664.0
HUAL201712,21,Atlanta,HUAL,Huntsville,201712,2492,1960903.24,273146.0,117,0.13929601136260042,1511.0
HUAL201801,21,Atlanta,HUAL,Huntsville,201801,2540,1620309.44,242152.33,63,0.14944820046225243,1659.0
HUAL201802,21,Atlanta,HUAL,Huntsville,201802,2249,1490803.99,223685.84,81,0.15004376262770802,1804.0
HUAL201803,21,Atlanta,HUAL,Huntsville,201803,2724,1292886.94,236165.94,94,0.18266557785787518,1783.0
HUAL201804,21,Atlanta,HUAL,Huntsville,201804,2764,1175727.0,209670.73,86,0.1783328357688477,1729.0
HUAL201805,21,Atlanta,HUAL,Huntsville,201805,2323,1164290.99,226057.19,72,0.1941586699043338,1975.0
HUAL201806,21,Atlanta,HUAL,Huntsville,201806,2441,1610235.68,266992.83,98,0.16580978381996853,1834.0
HUAL201807,21,Atlanta,HUAL,Huntsville,201807,2450,1107401.39,216252.97,82,0.19527966277882317,1818.0
HUAL201808,21,Atlanta,HUAL,Huntsville,201808,4672,1263329.0,238189.17,82,0.18854088681570677,1971.0
HUAL201809,21,Atlanta,HUAL,Huntsville,201809,4330,1545781.83,256437.02,85,0.16589470455866334,1640.0
HUAL201810,21,Atlanta,HUAL,Huntsville,201810,6430,1936026.5,379387.83,108,0.19596210589059604,2023.0
HUAL201811,21,Atlanta,HUAL,Huntsville,201811,6279,1782219.85,312825.78,101,0.17552592066573605,1778.0
HUAL201812,21,Atlanta,HUAL,Huntsville,201812,6601,1923931.31,287002.24,70,0.1491748892012158,1562.0
HUAL201901,21,Atlanta,HUAL,Huntsville,201901,6927,2035407.74,347308.56,125,0.17063340832142065,1920.0
HUAL201902,21,Atlanta,HUAL,Huntsville,201902,7538,1719111.02,268749.1,113,0.15633027586548773,1809.0
HUAL201903,21,Atlanta,HUAL,Huntsville,201903,8065,1762550.01,230346.5,111,0.1306893414048433,2002.0
JAMS201701,21,Atlanta,JAMS,"Jackson, MS",201701,3052,1395502.95,204173.01,53,0.14630783116581733,1949.0
JAMS201702,21,Atlanta,JAMS,"Jackson, MS",201702,3035,1495302.0,245050.16,58,0.16388004563626613,2023.0
JAMS201703,21,Atlanta,JAMS,"Jackson, MS",201703,3137,1478605.84,260078.22,74,0.17589421938168456,2261.0
JAMS201704,21,Atlanta,JAMS,"Jackson, MS",201704,2898,1728908.28,269401.93,66,0.15582199074204214,2072.0
JAMS201705,21,Atlanta,JAMS,"Jackson, MS",201705,3600,1555523.27,227285.65,82,0.14611523619315575,2037.0
JAMS201706,21,Atlanta,JAMS,"Jackson, MS",201706,3517,1171690.77,209032.09,52,0.1784020966555877,2045.0
JAMS201707,21,Atlanta,JAMS,"Jackson, MS",201707,3214,1427538.05,252904.19,77,0.17716108512834386,1755.0
JAMS201708,21,Atlanta,JAMS,"Jackson, MS",201708,3339,1360242.77,229953.44,71,0.1690532345193057,2190.0
JAMS201709,21,Atlanta,JAMS,"Jackson, MS",201709,2602,1102158.16,180025.4,61,0.16333898938787517,1762.0
JAMS201710,21,Atlanta,JAMS,"Jackson, MS",201710,3728,1898251.9,279137.2,87,0.14704960916936263,2044.0
JAMS201711,21,Atlanta,JAMS,"Jackson, MS",201711,3129,1638110.05,276533.32,59,0.16881241892142718,1932.0
JAMS201712,21,Atlanta,JAMS,"Jackson, MS",201712,3192,1455912.97,212144.36,55,0.1457122536658218,1575.0
JAMS201801,21,Atlanta,JAMS,"Jackson, MS",201801,3484,1367666.51,230056.83,53,0.1682112037677957,1938.0
JAMS201802,21,Atlanta,JAMS,"Jackson, MS",201802,2723,1603417.69,280594.33,54,0.1749976514229427,1941.0
JAMS201803,21,Atlanta,JAMS,"Jackson, MS",201803,3545,1731322.39,245892.67,57,0.14202592851583234,2025.0
JAMS201804,21,Atlanta,JAMS,"Jackson, MS",201804,3393,1591535.51,225817.05,91,0.14188627811389518,2035.0
JAMS201805,21,Atlanta,JAMS,"Jackson, MS",201805,3108,1886035.24,294251.32,48,0.15601581230263759,1943.0
JAMS201806,21,Atlanta,JAMS,"Jackson, MS",201806,3031,1386762.85,209914.17,61,0.1513699115894257,1922.0
JAMS201807,21,Atlanta,JAMS,"Jackson, MS",201807,2707,1421153.46,219860.76,47,0.15470585421506838,1706.0
JAMS201808,21,Atlanta,JAMS,"Jackson, MS",201808,2709,1444322.81,201768.78,72,0.13969784220191053,2074.0
JAMS201809,21,Atlanta,JAMS,"Jackson, MS",201809,2630,1317054.51,231504.47,45,0.1757744028377383,1644.0
JAMS201810,21,Atlanta,JAMS,"Jackson, MS",201810,2644,1305945.21,200095.75,53,0.15321910021018417,1894.0
JAMS201811,21,Atlanta,JAMS,"Jackson, MS",201811,1857,1048386.03,173397.55,47,0.16539475444937013,1645.0
JAMS201812,21,Atlanta,JAMS,"Jackson, MS",201812,1641,1003235.61,144669.99,45,0.1442034040239062,1378.0
JAMS201901,21,Atlanta,JAMS,"Jackson, MS",201901,2611,984703.54,157502.25,71,0.15994890198119932,1807.0
JAMS201902,21,Atlanta,JAMS,"Jackson, MS",201902,2153,1205868.03,183028.42,37,0.1517814681594967,1665.0
JAMS201903,21,Atlanta,JAMS,"Jackson, MS",201903,2154,1200432.38,169401.75,60,0.14111727809274857,1715.0
KNTN201701,21,Atlanta,KNTN,Knoxville,201701,1880,1259800.02,215397.32,55,0.17097739052266406,2430.0
KNTN201702,21,Atlanta,KNTN,Knoxville,201702,1937,1256135.72,216915.22,59,0.17268454080742168,2380.0
KNTN201703,21,Atlanta,KNTN,Knoxville,201703,2055,1555310.91,246859.54,60,0.15872038086584245,2558.0
KNTN201704,21,Atlanta,KNTN,Knoxville,201704,2370,1487816.41,241016.62,71,0.1619935217679176,2294.0
KNTN201705,21,Atlanta,KNTN,Knoxville,201705,2197,1914475.68,329974.23,77,0.17235749372381684,2384.0
KNTN201706,21,Atlanta,KNTN,Knoxville,201706,2281,1696422.77,277618.71,73,0.16364948343625452,2268.0
KNTN201707,21,Atlanta,KNTN,Knoxville,201707,1692,1638582.16,258028.55,57,0.15747062082013635,2180.0
KNTN201708,21,Atlanta,KNTN,Knoxville,201708,2074,1730616.38,316298.89,78,0.18276661058761043,2689.0
KNTN201709,21,Atlanta,KNTN,Knoxville,201709,2669,1769309.74,310716.04,79,0.17561427090770437,2407.0
KNTN201710,21,Atlanta,KNTN,Knoxville,201710,2106,2244805.39,386636.92,82,0.17223627568000446,2524.0
KNTN201711,21,Atlanta,KNTN,Knoxville,201711,1983,1851837.54,289199.88,72,0.15616914213759808,2300.0
KNTN201712,21,Atlanta,KNTN,Knoxville,201712,1714,1772159.7,264703.15,83,0.14936754853414172,2123.0
KNTN201801,21,Atlanta,KNTN,Knoxville,201801,1694,1386836.23,266773.57,69,0.19236126388189326,2645.0
KNTN201802,21,Atlanta,KNTN,Knoxville,201802,1501,1559635.91,265282.24,57,0.17009241599214012,2420.0
KNTN201803,21,Atlanta,KNTN,Knoxville,201803,2149,2841646.15,372426.78,69,0.1310602236664829,2777.0
KNTN201804,21,Atlanta,KNTN,Knoxville,201804,1546,2698253.47,333270.29,71,0.12351333694384166,2736.0
KNTN201805,21,Atlanta,KNTN,Knoxville,201805,2080,2690612.34,368138.41,83,0.13682328164747806,2715.0
KNTN201806,21,Atlanta,KNTN,Knoxville,201806,1474,2600922.19,367893.4,82,0.1414472918161385,2542.0
KNTN201807,21,Atlanta,KNTN,Knoxville,201807,1480,1837408.85,288402.11,55,0.1569613153871551,2540.0
KNTN201808,21,Atlanta,KNTN,Knoxville,201808,1799,2317287.47,365399.68,69,0.1576842255138936,2837.0
KNTN201809,21,Atlanta,KNTN,Knoxville,201809,1835,1984615.77,313479.17,69,0.1579545898700583,2343.0
KNTN201810,21,Atlanta,KNTN,Knoxville,201810,1735,1859865.33,290359.15,94,0.1561183733663125,2617.0
KNTN201811,21,Atlanta,KNTN,Knoxville,201811,1628,1754451.95,262857.46,54,0.14982311712783017,2416.0
KNTN201812,21,Atlanta,KNTN,Knoxville,201812,1855,1807487.34,304538.5,70,0.16848721053835983,1974.0
KNTN201901,21,Atlanta,KNTN,Knoxville,201901,1640,2019852.06,268241.6,66,0.13280259743379422,2502.0
KNTN201902,21,Atlanta,KNTN,Knoxville,201902,1812,1415832.79,238664.71,81,0.1685684296095445,2135.0
KNTN201903,21,Atlanta,KNTN,Knoxville,201903,2127,1492834.84,238086.26,100,0.15948600181383762,2264.0
MNAL201701,21,Atlanta,MNAL,Montgomery,201701,1992,485345.52,86859.48,47,0.17896421501943605,1342.0
MNAL201702,21,Atlanta,MNAL,Montgomery,201702,2287,691228.09,142014.1,61,0.20545186466597445,1279.0
MNAL201703,21,Atlanta,MNAL,Montgomery,201703,2513,704652.68,145311.82,61,0.20621765037493364,1337.0
MNAL201704,21,Atlanta,MNAL,Montgomery,201704,1549,386280.74,86007.1,53,0.22265438344143176,1060.0
MNAL201705,21,Atlanta,MNAL,Montgomery,201705,1368,759347.89,139773.71,36,0.18407071625628668,1199.0
MNAL201706,21,Atlanta,MNAL,Montgomery,201706,1474,2100995.8,191820.8,71,0.09129994453106474,1130.0
MNAL201707,21,Atlanta,MNAL,Montgomery,201707,1416,677760.53,121055.92,51,0.17861164030900412,1192.0
MNAL201708,21,Atlanta,MNAL,Montgomery,201708,2098,620534.48,116119.34,128,0.18712794170599512,1263.0
MNAL201709,21,Atlanta,MNAL,Montgomery,201709,1815,740409.45,141740.05,53,0.19143468522720772,1078.0
MNAL201710,21,Atlanta,MNAL,Montgomery,201710,2356,654352.27,126601.68,66,0.1934763365304746,1313.0
MNAL201711,21,Atlanta,MNAL,Montgomery,201711,2356,768181.79,183235.69,55,0.23853167620648752,1162.0
MNAL201712,21,Atlanta,MNAL,Montgomery,201712,1950,503853.95,111353.87,53,0.22100426125467507,1039.0
MNAL201801,21,Atlanta,MNAL,Montgomery,201801,2760,527717.69,134970.89,78,0.25576343669661716,1085.0
MNAL201802,21,Atlanta,MNAL,Montgomery,201802,2634,566031.96,125035.38,60,0.22089809204413124,1116.0
MNAL201803,21,Atlanta,MNAL,Montgomery,201803,2775,691334.45,110520.18,53,0.15986499732510076,1146.0
MNAL201804,21,Atlanta,MNAL,Montgomery,201804,2127,678640.46,112615.06,47,0.1659421544067679,1153.0
MNAL201805,21,Atlanta,MNAL,Montgomery,201805,2411,642018.24,119352.74,50,0.18590241299063404,1220.0
MNAL201806,21,Atlanta,MNAL,Montgomery,201806,2590,729318.92,136790.44,42,0.1875591545054117,1092.0
MNAL201807,21,Atlanta,MNAL,Montgomery,201807,2412,845104.75,189474.53,64,0.2242024198775359,1171.0
MNAL201808,21,Atlanta,MNAL,Montgomery,201808,3078,712920.87,154589.48,53,0.21683960521453105,1387.0
MNAL201809,21,Atlanta,MNAL,Montgomery,201809,2579,585245.07,124938.0,67,0.2134797991549079,1091.0
MNAL201810,21,Atlanta,MNAL,Montgomery,201810,3286,1038163.79,162486.87,71,0.1565137135056502,1548.0
MNAL201811,21,Atlanta,MNAL,Montgomery,201811,2852,1074919.17,216818.3,54,0.20170660832107032,1204.0
MNAL201812,21,Atlanta,MNAL,Montgomery,201812,2564,1032730.12,172422.1,46,0.16695755905715232,1049.0
MNAL201901,21,Atlanta,MNAL,Montgomery,201901,2881,1240366.92,189424.08,54,0.15271616563266618,1388.0
MNAL201902,21,Atlanta,MNAL,Montgomery,201902,2745,1106705.97,197188.59,60,0.1781761329072798,1201.0
MNAL201903,21,Atlanta,MNAL,Montgomery,201903,2975,705849.76,143811.84,50,0.20374284748641128,1193.0
MOAL201701,21,Atlanta,MOAL,Mobile,201701,1090,650817.19,122396.09,26,0.18806523841203396,1442.0
MOAL201702,21,Atlanta,MOAL,Mobile,201702,1334,631814.5,131379.72,37,0.2079403369185101,1413.0
MOAL201703,21,Atlanta,MOAL,Mobile,201703,1536,830463.46,152708.01,38,0.18388287667707862,1529.0
MOAL201704,21,Atlanta,MOAL,Mobile,201704,1247,579768.44,104820.22,23,0.18079669876476892,1342.0
MOAL201705,21,Atlanta,MOAL,Mobile,201705,1311,988078.01,175020.24,28,0.17713200600426274,1512.0
MOAL201706,21,Atlanta,MOAL,Mobile,201706,1170,711537.86,137512.96,32,0.19326162068171607,1368.0
MOAL201707,21,Atlanta,MOAL,Mobile,201707,1204,818338.86,161429.73,30,0.1972651402623114,1238.0
MOAL201708,21,Atlanta,MOAL,Mobile,201708,1412,1095719.46,180260.02,33,0.16451293107452888,1600.0
MOAL201709,21,Atlanta,MOAL,Mobile,201709,1154,757796.86,148063.3,28,0.1953865314247937,1339.0
MOAL201710,21,Atlanta,MOAL,Mobile,201710,1347,925657.3,161891.15,49,0.17489318131018897,1384.0
MOAL201711,21,Atlanta,MOAL,Mobile,201711,1108,1052139.03,193448.96,27,0.18386254523796156,1285.0
MOAL201712,21,Atlanta,MOAL,Mobile,201712,1000,817718.75,144885.48,34,0.17718253372568504,990.0
MOAL201801,21,Atlanta,MOAL,Mobile,201801,1159,658103.86,140447.27,24,0.21341201372075222,1132.0
MOAL201802,21,Atlanta,MOAL,Mobile,201802,1177,1180562.99,198720.99,23,0.16832730797363044,1185.0
MOAL201803,21,Atlanta,MOAL,Mobile,201803,1311,987809.97,182985.25,30,0.18524337226521415,1267.0
MOAL201804,21,Atlanta,MOAL,Mobile,201804,1037,1063228.7,174760.19,30,0.16436744982523516,1201.0
MOAL201805,21,Atlanta,MOAL,Mobile,201805,1541,931003.02,152172.04,36,0.16344956646864583,1218.0
MOAL201806,21,Atlanta,MOAL,Mobile,201806,957,708450.89,124383.67,32,0.1755713370619098,1226.0
MOAL201807,21,Atlanta,MOAL,Mobile,201807,958,1081981.92,188616.87,27,0.17432534362496557,1275.0
MOAL201808,21,Atlanta,MOAL,Mobile,201808,1293,1155442.68,207653.89,43,0.17971803672684136,1416.0
MOAL201809,21,Atlanta,MOAL,Mobile,201809,995,827056.03,151613.05,17,0.1833165402348859,1052.0
MOAL201810,21,Atlanta,MOAL,Mobile,201810,1205,739361.05,145406.0,25,0.19666440367666108,1439.0
MOAL201811,21,Atlanta,MOAL,Mobile,201811,1068,920515.47,173465.72,28,0.18844411164540234,1186.0
MOAL201812,21,Atlanta,MOAL,Mobile,201812,808,837928.26,147596.54,29,0.17614460216439054,943.0
MOAL201901,21,Atlanta,MOAL,Mobile,201901,994,880409.64,151481.34,35,0.17205779346078037,1397.0
MOAL201902,21,Atlanta,MOAL,Mobile,201902,1023,950535.36,166307.33,30,0.17496174997635017,1283.0
MOAL201903,21,Atlanta,MOAL,Mobile,201903,848,944268.65,173723.41,41,0.18397667867084225,1312.0
NATN201701,21,Atlanta,NATN,Nashville,201701,3991,5357242.94,673252.9,130,0.12567152685444577,4672.0
NATN201702,21,Atlanta,NATN,Nashville,201702,3419,3772804.6,602705.98,117,0.1597501179891479,4388.0
NATN201703,21,Atlanta,NATN,Nashville,201703,4193,4526437.53,766059.01,128,0.16924104329790673,5087.0
NATN201704,21,Atlanta,NATN,Nashville,201704,4738,4167931.82,622523.68,113,0.14936033190677292,4434.0
NATN201705,21,Atlanta,NATN,Nashville,201705,5401,5231225.66,758920.51,115,0.14507508552020676,4941.0
NATN201706,21,Atlanta,NATN,Nashville,201706,5514,4719346.76,731871.54,140,0.1550789923307098,5007.0
NATN201707,21,Atlanta,NATN,Nashville,201707,5553,4116002.57,631871.99,133,0.15351593670166247,4616.0
NATN201708,21,Atlanta,NATN,Nashville,201708,6948,4723089.16,740520.53,164,0.15678732814774982,5614.0
NATN201709,21,Atlanta,NATN,Nashville,201709,5710,4387756.29,719865.98,141,0.16406243474384033,4976.0
NATN201710,21,Atlanta,NATN,Nashville,201710,6007,4763321.35,730912.15,142,0.15344590387545448,5083.0
NATN201711,21,Atlanta,NATN,Nashville,201711,5322,4384602.41,708600.79,109,0.16161118471857064,4800.0
NATN201712,21,Atlanta,NATN,Nashville,201712,4358,5144513.96,780078.12,105,0.1516330067456946,4052.0
NATN201801,21,Atlanta,NATN,Nashville,201801,4978,4832364.66,791906.69,134,0.16387560660622824,5271.0
NATN201802,21,Atlanta,NATN,Nashville,201802,4589,4903521.57,723111.19,114,0.1474677289937974,4940.0
NATN201803,21,Atlanta,NATN,Nashville,201803,5597,5206202.34,739215.0,137,0.14198737423639973,5455.0
